Location,Item,Sale Department,Master Sale Department,DOB,Quantity,Net Amount,Gross Amount,Item Number
317 Marketplace,"REG Double Meat","MODIFIERS","FOOD",4/22/2018,4,8,8,53
317 Marketplace,"REG Egg Salad!","CLASSIC","FOOD",4/22/2018,3,15.89,18,522
317 Marketplace,"REG French Dip!","Beef","FOOD",4/22/2018,1,5.17,6,541
317 Marketplace,"REG Grinder!","Italian","FOOD",4/22/2018,5,30,30,535
317 Marketplace,"REG Ham!","HAM","FOOD",4/22/2018,8,48,48,536
317 Marketplace,"REG Meatball!","Italian","FOOD",4/22/2018,2,10.69,12,534
317 Marketplace,"REG Muffuletta!","HAM","FOOD",4/22/2018,1,6,6,537
317 Marketplace,"REG P2-Bacon","MODIFIERS","FOOD",4/22/2018,3,3,3,51
317 Marketplace,"REG P2-Double Cheese","MODIFIERS","FOOD",4/22/2018,1,1,1,50
317 Marketplace,"REG P3-Avocado","MODIFIERS","FOOD",4/22/2018,4,4,4,52
317 Marketplace,"REG Pepperoni Pizzawich!","Italian","FOOD",4/22/2018,4,24,24,533
317 Marketplace,"REG Roast Beef!","Beef","FOOD",4/22/2018,7,32.77,42,539
317 Marketplace,"REG The Avocado","VEG","FOOD",4/22/2018,6,32.18,36,530
317 Marketplace,"REG Tuna Salad!","Seafood","FOOD",4/22/2018,2,9,12,543
317 Marketplace,"REG Turkey!","Turkey","FOOD",4/22/2018,26,142.31,156,527
317 Marketplace,"REG Wicked!","Wicked","FOOD",4/22/2018,3,19.02,21,520
317 Marketplace,"SLD Black Bean Patty!","VEG","FOOD",4/22/2018,1,7,7,532
317 Marketplace,"SLD Chicken!","Chicken","FOOD",4/22/2018,1,7,7,524
317 Marketplace,"SLD P2-Bacon","MODIFIERS","FOOD",4/22/2018,1,1,1,51
317 Marketplace,"SLD P3-Avocado","MODIFIERS","FOOD",4/22/2018,2,2,2,52
317 Marketplace,"SLD P3-Sliced Egg","MODIFIERS","FOOD",4/22/2018,2,2,2,54
317 Marketplace,"SLD Roast Beef!","Beef","FOOD",4/22/2018,1,5.25,7,539
317 Marketplace,"SLD Turkey!","Turkey","FOOD",4/22/2018,4,28,28,527
317 Marketplace,"SUP Buffalo Chicken!","Chicken","FOOD",4/22/2018,1,11.75,11.75,525
317 Marketplace,"SUP Double Meat","MODIFIERS","FOOD",4/22/2018,1,4,4,53
317 Marketplace,"SUP Krab Salad!","Seafood","FOOD",4/22/2018,1,11.75,11.75,542
317 Marketplace,"SUP Roast Beef!","Beef","FOOD",4/22/2018,1,11.75,11.75,539
317 Marketplace,"SUP Surf & Turf!","Seafood","FOOD",4/22/2018,1,11.75,11.75,544
317 Marketplace,"Superfood Wich","FAVORITES","FOOD",4/22/2018,4,26.83,31,312
317 Marketplace,"The Reuben","FAVORITES","FOOD",4/22/2018,9,56.42,69.75,271
317 Marketplace,"Turkey","KIDS","FOOD",4/22/2018,3,0,0,365
317 Marketplace,"Ultimate BLT","FAVORITES","FOOD",4/22/2018,6,38.75,46.5,248
317 Marketplace,"White Bread","MODIFIERS","FOOD",4/22/2018,3,0,0,69
317 Marketplace,"WRP Chicken Pesto!","Chicken","FOOD",4/22/2018,1,6,6,526
317 Marketplace,"WRP Chicken!","Chicken","FOOD",4/22/2018,2,12,12,524
317 Marketplace,"WRP P2-Bacon","MODIFIERS","FOOD",4/22/2018,1,1,1,51
317 Marketplace,"WRP P3-Avocado","MODIFIERS","FOOD",4/22/2018,1,1,1,52
317 Marketplace,"WRP The Avocado","VEG","FOOD",4/22/2018,1,6,6,530
317 Marketplace,"WRP Tuna Salad!","Seafood","FOOD",4/22/2018,1,6,6,543
317 Marketplace,"WRP Turkey!","Turkey","FOOD",4/22/2018,1,6,6,527
