Location,Item,Sale Department,Master Sale Department,DOB,Quantity,Net Amount,Gross Amount,Item Number
317 Marketplace,"LRG Turkey!","Turkey","FOOD",4/19/2018,9,70.17,76.5,527
317 Marketplace,"LRG Turkeywich!","Turkey","FOOD",4/19/2018,1,3.27,8.5,528
317 Marketplace,"LRG Wicked!","Wicked","FOOD",4/19/2018,4,32.92,40,520
317 Marketplace,"LTW Buffalo Chicken!","Chicken","FOOD",4/19/2018,1,5.88,6,525
317 Marketplace,"LTW Caprese!","VEG","FOOD",4/19/2018,1,6,6,531
317 Marketplace,"LTW Roast Beef!","Beef","FOOD",4/19/2018,2,12,12,539
317 Marketplace,"LTW Tuna Salad!","Seafood","FOOD",4/19/2018,1,6,6,543
317 Marketplace,"LTW Wicked!","Wicked","FOOD",4/19/2018,1,8,8,520
317 Marketplace,"Meatball Grinder","FAVORITES","FOOD",4/19/2018,2,15.5,15.5,190
317 Marketplace,"---Oreo","Beverages","NA BEVERAGE",4/19/2018,1,0,0,201
317 Marketplace,"P1-Buffalo","MODIFIERS","FOOD",4/19/2018,1,0,0,88
317 Marketplace,"P1-Pesto","MODIFIERS","FOOD",4/19/2018,1,0,0,91
317 Marketplace,"P2-Bleu Cheese","MODIFIERS","FOOD",4/19/2018,3,0,0,57
317 Marketplace,"P2-Hot Pepper Mix","MODIFIERS","FOOD",4/19/2018,3,0,0,136
317 Marketplace,"P2-Marinara","MODIFIERS","FOOD",4/19/2018,1,0,0,90
317 Marketplace,"P2-Mozzarella","MODIFIERS","FOOD",4/19/2018,4,0,0,65
317 Marketplace,"P2-Mushrooms","MODIFIERS","FOOD",4/19/2018,1,0,0,128
317 Marketplace,"P2-Olive Salad","MODIFIERS","FOOD",4/19/2018,1,0,0,127
317 Marketplace,"P2-Pepper Jack","MODIFIERS","FOOD",4/19/2018,2,0,0,64
317 Marketplace,"P2-Provolone","MODIFIERS","FOOD",4/19/2018,7,0,0,63
317 Marketplace,"P2-Side Au Jus","MODIFIERS","FOOD",4/19/2018,1,0,0,105
317 Marketplace,"P2-Swiss","MODIFIERS","FOOD",4/19/2018,1,0,0,59
317 Marketplace,"P3-Avocado","MODIFIERS","FOOD",4/19/2018,4,0,0,318
317 Marketplace,"P3-Banana Peppers","MODIFIERS","FOOD",4/19/2018,3,0,0,125
317 Marketplace,"P3-Bell Peppers","MODIFIERS","FOOD",4/19/2018,1,0,0,124
317 Marketplace,"P3-Black Olives","MODIFIERS","FOOD",4/19/2018,4,0,0,126
317 Marketplace,"P3-Chipotle Mayo","MODIFIERS","FOOD",4/19/2018,1,0,0,329
317 Marketplace,"P3-Crispy Strings","MODIFIERS","FOOD",4/19/2018,1,0,0,111
317 Marketplace,"P3-Cucumbers","MODIFIERS","FOOD",4/19/2018,1,0,0,118
317 Marketplace,"P3-Dijon Mustard","MODIFIERS","FOOD",4/19/2018,1,0,0,73
317 Marketplace,"P3-Hummus","MODIFIERS","FOOD",4/19/2018,1,0,0,92
317 Marketplace,"P3-Jalapenos","MODIFIERS","FOOD",4/19/2018,2,0,0,123
317 Marketplace,"P3-Light Mayo","MODIFIERS","FOOD",4/19/2018,2,0,0,77
317 Marketplace,"P3-Pickles","MODIFIERS","FOOD",4/19/2018,1,0,0,115
317 Marketplace,"P3-Ranch","MODIFIERS","FOOD",4/19/2018,5,0,0,102
317 Marketplace,"P3-Red Onions","MODIFIERS","FOOD",4/19/2018,3,0,0,110
317 Marketplace,"P3-Regular Mayo","MODIFIERS","FOOD",4/19/2018,3,0,0,76
317 Marketplace,"P3-Sliced Egg*","MODIFIERS","FOOD",4/19/2018,3,0,0,628
317 Marketplace,"P3-Yellow Mustard","MODIFIERS","FOOD",4/19/2018,2,0,0,72
317 Marketplace,"P4-Garlic","MODIFIERS","FOOD",4/19/2018,3,0,0,142
317 Marketplace,"P4-Lettuce","MODIFIERS","FOOD",4/19/2018,9,0,0,112
317 Marketplace,"P4-Oregano","MODIFIERS","FOOD",4/19/2018,3,0,0,139
317 Marketplace,"P4-Pepper","MODIFIERS","FOOD",4/19/2018,4,0,0,141
317 Marketplace,"P4-Salt","MODIFIERS","FOOD",4/19/2018,3,0,0,140
317 Marketplace,"P4-Spinach","MODIFIERS","FOOD",4/19/2018,2,0,0,120
317 Marketplace,"P4-Tomato","MODIFIERS","FOOD",4/19/2018,12,0,0,114
317 Marketplace,"Philly Cheesesteak","FAVORITES","FOOD",4/19/2018,9,63.57,69.75,186
317 Marketplace,"REG Black Bean Patty!","VEG","FOOD",4/19/2018,9,48.36,54,532
317 Marketplace,"REG Buffalo Chicken!","Chicken","FOOD",4/19/2018,6,28.13,36,525
317 Marketplace,"REG Caprese!","VEG","FOOD",4/19/2018,3,18,18,531
317 Marketplace,"REG Chicken Cordon Bleu!","HAM","FOOD",4/19/2018,1,3.85,6,538
317 Marketplace,"REG Chicken Pesto!","Chicken","FOOD",4/19/2018,4,24,24,526
317 Marketplace,"REG Chicken Salad!","CLASSIC","FOOD",4/19/2018,1,6,6,521
317 Marketplace,"REG Chicken!","Chicken","FOOD",4/19/2018,9,48,54,524
317 Marketplace,"REG Club!","CLASSIC","FOOD",4/19/2018,10,52.23,60,523
317 Marketplace,"REG Corned Beef!","Beef","FOOD",4/19/2018,2,8.79,12,540
317 Marketplace,"REG Double Meat","MODIFIERS","FOOD",4/19/2018,2,4,4,53
317 Marketplace,"REG Egg Salad!","CLASSIC","FOOD",4/19/2018,1,6,6,522
317 Marketplace,"REG French Dip!","Beef","FOOD",4/19/2018,4,22.22,24,541
317 Marketplace,"REG Grinder!","Italian","FOOD",4/19/2018,5,28.11,30,535
317 Marketplace,"REG Ham!","HAM","FOOD",4/19/2018,8,39.08,48,536
317 Marketplace,"REG Krab Salad!","Seafood","FOOD",4/19/2018,1,0,6,542
317 Marketplace,"REG Meatball!","Italian","FOOD",4/19/2018,3,18,18,534
317 Marketplace,"REG P2-Bacon","MODIFIERS","FOOD",4/19/2018,7,7,7,51
317 Marketplace,"REG P2-Double Cheese","MODIFIERS","FOOD",4/19/2018,2,2,2,50
317 Marketplace,"REG P3-Avocado","MODIFIERS","FOOD",4/19/2018,7,7,7,52
317 Marketplace,"REG P3-Sliced Egg","MODIFIERS","FOOD",4/19/2018,1,1,1,54
317 Marketplace,"REG Pepperoni Pizzawich!","Italian","FOOD",4/19/2018,1,6,6,533
317 Marketplace,"REG Roast Beef!","Beef","FOOD",4/19/2018,5,26.69,30,539
317 Marketplace,"REG Surf & Turf!","Seafood","FOOD",4/19/2018,2,12,12,544
317 Marketplace,"REG The Avocado","VEG","FOOD",4/19/2018,3,18,18,530
317 Marketplace,"REG Tuna Salad!","Seafood","FOOD",4/19/2018,3,18,18,543
317 Marketplace,"REG Turkey!","Turkey","FOOD",4/19/2018,15,73.7,90,527
317 Marketplace,"REG Turkeywich!","Turkey","FOOD",4/19/2018,2,12,12,528
317 Marketplace,"REG Wicked!","Wicked","FOOD",4/19/2018,7,38.58,49,520
317 Marketplace,"---Salt & Vinegar","Sides","FOOD",4/19/2018,1,0,0,238
317 Marketplace,"SUP Club!","CLASSIC","FOOD",4/19/2018,1,11.75,11.75,523
317 Marketplace,"SUP Corned Beef!","Beef","FOOD",4/19/2018,1,11.75,11.75,540
317 Marketplace,"SUP Double Meat","MODIFIERS","FOOD",4/19/2018,1,4,4,53
317 Marketplace,"SUP Krab Salad!","Seafood","FOOD",4/19/2018,1,11.75,11.75,542
317 Marketplace,"SUP P2-Bacon","MODIFIERS","FOOD",4/19/2018,1,2,2,51
317 Marketplace,"SUP P2-Double Cheese","MODIFIERS","FOOD",4/19/2018,1,2,2,50
317 Marketplace,"SUP P3-Avocado","MODIFIERS","FOOD",4/19/2018,1,2,2,52
317 Marketplace,"SUP Surf & Turf!","Seafood","FOOD",4/19/2018,1,11.75,11.75,544
317 Marketplace,"SUP Turkey!","Turkey","FOOD",4/19/2018,1,11.75,11.75,527
317 Marketplace,"SUP Wicked!","Wicked","FOOD",4/19/2018,3,40.5,40.5,520
317 Marketplace,"Superfood Wich","FAVORITES","FOOD",4/19/2018,5,34.27,38.75,312
317 Marketplace,"The Reuben","FAVORITES","FOOD",4/19/2018,4,28.7,31,271
317 Marketplace,"Turkey","KIDS","FOOD",4/19/2018,1,0,0,365
317 Marketplace,"Ultimate BLT","FAVORITES","FOOD",4/19/2018,9,68.45,69.75,248
317 Marketplace,"Vitamin Water","Beverages","NA BEVERAGE",4/19/2018,1,2.25,2.25,1785
317 Marketplace,"Wheat Bread","MODIFIERS","FOOD",4/19/2018,7,0,0,70
317 Marketplace,"White Bread","MODIFIERS","FOOD",4/19/2018,8,0,0,69
317 Marketplace,"WRP Black Bean Patty!","VEG","FOOD",4/19/2018,1,6,6,532
317 Marketplace,"WRP Chicken!","Chicken","FOOD",4/19/2018,2,12,12,524
317 Marketplace,"WRP P3-Avocado","MODIFIERS","FOOD",4/19/2018,2,2,2,52
317 Marketplace,"WRP P3-Sliced Egg","MODIFIERS","FOOD",4/19/2018,1,1,1,54
317 Marketplace,"WRP Turkey!","Turkey","FOOD",4/19/2018,1,6,6,527
317 Marketplace,"Yellow Cheese","MODIFIERS","FOOD",4/19/2018,1,0,0,67
317 Marketplace,"16oz Shake","Beverages","NA BEVERAGE",4/20/2018,14,41.98,45.5,342
317 Marketplace,"16oz Shake - ---Chocolate","Beverages","NA BEVERAGE",4/20/2018,3,0,0,0
317 Marketplace,"16oz Shake - ---Oreo","Beverages","NA BEVERAGE",4/20/2018,6,0,0,0
317 Marketplace,"16oz Shake - ---Strawberry","Beverages","NA BEVERAGE",4/20/2018,2,0,0,0
317 Marketplace,"16oz Shake - ---Vanilla","Beverages","NA BEVERAGE",4/20/2018,3,0,0,0
317 Marketplace,"22oz Fountain Drink","Beverages","NA BEVERAGE",4/20/2018,75,136.08,150,251
317 Marketplace,"32oz Fountain Drink","Beverages","NA BEVERAGE",4/20/2018,28,63,63,252
317 Marketplace,"32oz Refill","Beverages","NA BEVERAGE",4/20/2018,5,6.22,10,644
317 Marketplace,"Banh Mi","EGGWICH","FOOD",4/20/2018,1,8.25,8.25,663
317 Marketplace,"---BBQ Chips","Sides","FOOD",4/20/2018,1,0,0,237
317 Marketplace,"---Birthday","Sides","FOOD",4/20/2018,3,0,0,648
317 Marketplace,"Brunchwich","EGGWICH","FOOD",4/20/2018,3,24.75,24.75,661
317 Marketplace,"Can Drink","Beverages","NA BEVERAGE",4/20/2018,6,9,9,1770
317 Marketplace,"---Candy Token","KIDS","FOOD",4/20/2018,1,0,0,354
317 Marketplace,"---Carrot","Sides","FOOD",4/20/2018,1,0,0,649
317 Marketplace,"Cheeseburgerwich","EGGWICH","FOOD",4/20/2018,2,16.5,16.5,662
317 Marketplace,"Chips","Sides","FOOD",4/20/2018,110,132.95,137.5,20002
317 Marketplace,"---Chips House","Sides","FOOD",4/20/2018,2,0,0,42
317 Marketplace,"---Chocolate","Sides","FOOD",4/20/2018,2,0,0,647
317 Marketplace,"Coldwich","MODIFIERS","FOOD",4/20/2018,1,0,0,145
317 Marketplace,"Courtney's Cake","Sides","FOOD",4/20/2018,8,14.99,15.6,646
317 Marketplace,"Courtney's Cookie","Sides","FOOD",4/20/2018,9,12.81,13.5,311
317 Marketplace,"---Diet Coke (Lg)","Beverages","NA BEVERAGE",4/20/2018,1,0,0,292
317 Marketplace,"---Diet Coke (Reg)","Beverages","NA BEVERAGE",4/20/2018,1,0,0,291
317 Marketplace,"---Doritos","Sides","FOOD",4/20/2018,1,0,0,234
317 Marketplace,"Gyro Fav","FAVORITES","FOOD",4/20/2018,8,56.62,62,426
317 Marketplace,"Hotwich","MODIFIERS","FOOD",4/20/2018,23,0,0,144
317 Marketplace,"Italian Club","FAVORITES","FOOD",4/20/2018,4,29.52,31,263
317 Marketplace,"---Jalapeno Kettle","Sides","FOOD",4/20/2018,1,0,0,236
317 Marketplace,"Juice Box","Beverages","NA BEVERAGE",4/20/2018,2,2,2,1305
317 Marketplace,"K Apple Slices","KIDS","FOOD",4/20/2018,1,0,0,367
317 Marketplace,"K Carrots","KIDS","FOOD",4/20/2018,1,0,0,368
317 Marketplace,"K Cheese Pizzawich","KIDS","FOOD",4/20/2018,2,10,10,6
317 Marketplace,"K Choc Milk","KIDS","FOOD",4/20/2018,4,0,0,11
317 Marketplace,"K Grilled Cheese","KIDS","FOOD",4/20/2018,5,25,25,4
317 Marketplace,"K Juice","KIDS","FOOD",4/20/2018,4,0,0,12
317 Marketplace,"Kidswich","KIDS","FOOD",4/20/2018,3,12.5,15,2
317 Marketplace,"LRG Black Bean Patty!","VEG","FOOD",4/20/2018,3,25.5,25.5,532
317 Marketplace,"LRG Buffalo Chicken!","Chicken","FOOD",4/20/2018,4,32.25,34,525
317 Marketplace,"LRG Caprese!","VEG","FOOD",4/20/2018,1,8.5,8.5,531
317 Marketplace,"LRG Chicken Cordon Bleu!","HAM","FOOD",4/20/2018,1,8.5,8.5,538
317 Marketplace,"LRG Chicken Pesto!","Chicken","FOOD",4/20/2018,1,5.5,8.5,526
317 Marketplace,"LRG Chicken!","Chicken","FOOD",4/20/2018,5,42.5,42.5,524
317 Marketplace,"LRG Club!","CLASSIC","FOOD",4/20/2018,2,17,17,523
317 Marketplace,"LRG Double Meat","MODIFIERS","FOOD",4/20/2018,3,9,9,53
317 Marketplace,"LRG French Dip!","Beef","FOOD",4/20/2018,2,17,17,541
317 Marketplace,"LRG Grinder!","Italian","FOOD",4/20/2018,4,34,34,535
317 Marketplace,"LRG Ham!","HAM","FOOD",4/20/2018,1,8.5,8.5,536
317 Marketplace,"LRG Meatball!","Italian","FOOD",4/20/2018,1,8.5,8.5,534
317 Marketplace,"LRG Muffuletta!","HAM","FOOD",4/20/2018,2,15.51,17,537
317 Marketplace,"LRG P2-Bacon","MODIFIERS","FOOD",4/20/2018,4,6,6,51
317 Marketplace,"LRG P2-Double Cheese","MODIFIERS","FOOD",4/20/2018,4,6,6,50
317 Marketplace,"LRG P3-Avocado","MODIFIERS","FOOD",4/20/2018,4,6,6,52
317 Marketplace,"LRG P3-Sliced Egg","MODIFIERS","FOOD",4/20/2018,1,1.5,1.5,54
317 Marketplace,"LRG Roast Beef!","Beef","FOOD",4/20/2018,2,17,17,539
317 Marketplace,"LRG Surf & Turf!","Seafood","FOOD",4/20/2018,2,17,17,544
317 Marketplace,"LRG Turkey!","Turkey","FOOD",4/20/2018,7,59.5,59.5,527
317 Marketplace,"LRG Wicked!","Wicked","FOOD",4/20/2018,5,42.27,50,520
317 Marketplace,"LTW Chicken!","Chicken","FOOD",4/20/2018,1,6,6,524
317 Marketplace,"LTW Roast Beef!","Beef","FOOD",4/20/2018,1,4.85,6,539
317 Marketplace,"LTW Turkey!","Turkey","FOOD",4/20/2018,2,12,12,527
317 Marketplace,"LTW Wicked!","Wicked","FOOD",4/20/2018,2,16,16,520
317 Marketplace,"Make It A Large","MODIFIERS","FOOD",4/20/2018,2,6,6,554
317 Marketplace,"Meatball Grinder","FAVORITES","FOOD",4/20/2018,2,15.5,15.5,190
317 Marketplace,"P1-American","MODIFIERS","FOOD",4/20/2018,5,0,0,56
317 Marketplace,"P1-Pesto","MODIFIERS","FOOD",4/20/2018,4,0,0,91
317 Marketplace,"P2-Caramel Onion","MODIFIERS","FOOD",4/20/2018,3,0,0,109
317 Marketplace,"P2-Cheddar","MODIFIERS","FOOD",4/20/2018,5,0,0,60
317 Marketplace,"P2-Hot Pepper Mix","MODIFIERS","FOOD",4/20/2018,6,0,0,136
317 Marketplace,"P2-Marinara","MODIFIERS","FOOD",4/20/2018,3,0,0,90
317 Marketplace,"P2-Mozzarella","MODIFIERS","FOOD",4/20/2018,8,0,0,65
317 Marketplace,"P2-Mushrooms","MODIFIERS","FOOD",4/20/2018,3,0,0,128
317 Marketplace,"P2-Olive Salad","MODIFIERS","FOOD",4/20/2018,3,0,0,127
317 Marketplace,"P2-Pepper Jack","MODIFIERS","FOOD",4/20/2018,7,0,0,64
317 Marketplace,"P2-Provolone","MODIFIERS","FOOD",4/20/2018,11,0,0,63
317 Marketplace,"P2-Side Au Jus","MODIFIERS","FOOD",4/20/2018,1,0,0,105
317 Marketplace,"P2-Sunny Side Up Egg","MODIFIERS","FOOD",4/20/2018,2,0,0,698
317 Marketplace,"P2-Swiss","MODIFIERS","FOOD",4/20/2018,1,0,0,59
317 Marketplace,"P3-1000 Island","MODIFIERS","FOOD",4/20/2018,1,0,0,98
317 Marketplace,"P3-American Cheese","MODIFIERS","FOOD",4/20/2018,1,0,0,694
317 Marketplace,"P3-Avocado","MODIFIERS","FOOD",4/20/2018,3,0,0,318
317 Marketplace,"P3-Banana Peppers","MODIFIERS","FOOD",4/20/2018,4,0,0,125
317 Marketplace,"P3-Bell Peppers","MODIFIERS","FOOD",4/20/2018,6,0,0,124
317 Marketplace,"P3-Black Olives","MODIFIERS","FOOD",4/20/2018,3,0,0,126
317 Marketplace,"P3-Chipotle Mayo","MODIFIERS","FOOD",4/20/2018,9,0,0,329
317 Marketplace,"P3-Cilantro","MODIFIERS","FOOD",4/20/2018,1,0,0,327
317 Marketplace,"P3-Crispy Strings","MODIFIERS","FOOD",4/20/2018,3,0,0,111
317 Marketplace,"P3-Cucumbers","MODIFIERS","FOOD",4/20/2018,4,0,0,118
317 Marketplace,"P3-Dijon Mustard","MODIFIERS","FOOD",4/20/2018,2,0,0,73
317 Marketplace,"P3-Harissa Mayo","MODIFIERS","FOOD",4/20/2018,1,0,0,695
317 Marketplace,"P3-Honey Mustard","MODIFIERS","FOOD",4/20/2018,1,0,0,74
317 Marketplace,"P3-Jalapenos","MODIFIERS","FOOD",4/20/2018,2,0,0,123
317 Marketplace,"P3-Light Mayo","MODIFIERS","FOOD",4/20/2018,3,0,0,77
317 Marketplace,"P3-Oil","MODIFIERS","FOOD",4/20/2018,1,0,0,137
317 Marketplace,"P3-Pickled Carrots","MODIFIERS","FOOD",4/20/2018,1,0,0,697
317 Marketplace,"P3-Pickles","MODIFIERS","FOOD",4/20/2018,5,0,0,115
317 Marketplace,"P3-Red Onions","MODIFIERS","FOOD",4/20/2018,4,0,0,110
317 Marketplace,"P3-Regular Mayo","MODIFIERS","FOOD",4/20/2018,2,0,0,76
317 Marketplace,"P3-Sriracha Mayo","MODIFIERS","FOOD",4/20/2018,1,0,0,331
317 Marketplace,"P3-Tzatziki","MODIFIERS","FOOD",4/20/2018,2,0,0,104
317 Marketplace,"P3-Yellow Mustard","MODIFIERS","FOOD",4/20/2018,1,0,0,72
317 Marketplace,"P4-Garlic","MODIFIERS","FOOD",4/20/2018,3,0,0,142
317 Marketplace,"P4-Lettuce","MODIFIERS","FOOD",4/20/2018,11,0,0,112
317 Marketplace,"P4-Oregano","MODIFIERS","FOOD",4/20/2018,3,0,0,139
317 Marketplace,"P4-Pepper","MODIFIERS","FOOD",4/20/2018,10,0,0,141
317 Marketplace,"P4-Salt","MODIFIERS","FOOD",4/20/2018,9,0,0,140
317 Marketplace,"P4-Spinach","MODIFIERS","FOOD",4/20/2018,5,0,0,120
317 Marketplace,"P4-Tomato","MODIFIERS","FOOD",4/20/2018,12,0,0,114
317 Marketplace,"P4-Vinegar","MODIFIERS","FOOD",4/20/2018,1,0,0,138
317 Marketplace,"Philly Cheesesteak","FAVORITES","FOOD",4/20/2018,12,84.95,93,186
317 Marketplace,"REG Black Bean Patty!","VEG","FOOD",4/20/2018,6,27.23,36,532
317 Marketplace,"REG Buffalo Chicken!","Chicken","FOOD",4/20/2018,8,38.5,48,525
317 Marketplace,"REG Caprese!","VEG","FOOD",4/20/2018,1,6,6,531
317 Marketplace,"REG Chicken Cordon Bleu!","HAM","FOOD",4/20/2018,1,6,6,538
317 Marketplace,"REG Chicken Pesto!","Chicken","FOOD",4/20/2018,4,24,24,526
317 Marketplace,"REG Chicken Salad!","CLASSIC","FOOD",4/20/2018,1,6,6,521
317 Marketplace,"REG Chicken!","Chicken","FOOD",4/20/2018,11,52.53,66,524
317 Marketplace,"REG Club!","CLASSIC","FOOD",4/20/2018,3,17.16,18,523
317 Marketplace,"REG Corned Beef!","Beef","FOOD",4/20/2018,1,6,6,540
317 Marketplace,"REG Double Meat","MODIFIERS","FOOD",4/20/2018,5,10,10,53
317 Marketplace,"REG Egg Salad!","CLASSIC","FOOD",4/20/2018,1,6,6,522
317 Marketplace,"REG French Dip!","Beef","FOOD",4/20/2018,2,12,12,541
317 Marketplace,"REG Grinder!","Italian","FOOD",4/20/2018,6,36,36,535
317 Marketplace,"REG Ham!","HAM","FOOD",4/20/2018,8,43.5,48,536
317 Marketplace,"REG Krab Salad!","Seafood","FOOD",4/20/2018,2,10.08,12,542
317 Marketplace,"REG Muffuletta!","HAM","FOOD",4/20/2018,2,8.11,12,537
317 Marketplace,"REG P2-Bacon","MODIFIERS","FOOD",4/20/2018,13,13,13,51
317 Marketplace,"REG P2-Double Cheese","MODIFIERS","FOOD",4/20/2018,1,1,1,50
317 Marketplace,"REG P3-Avocado","MODIFIERS","FOOD",4/20/2018,16,16,16,52
317 Marketplace,"REG P3-Sliced Egg","MODIFIERS","FOOD",4/20/2018,3,3,3,54
317 Marketplace,"REG Pepperoni Pizzawich!","Italian","FOOD",4/20/2018,3,16.12,18,533
317 Marketplace,"REG Roast Beef!","Beef","FOOD",4/20/2018,7,42,42,539
317 Marketplace,"REG Surf & Turf!","Seafood","FOOD",4/20/2018,2,8.21,12,544
317 Marketplace,"REG The Avocado","VEG","FOOD",4/20/2018,4,21,24,530
317 Marketplace,"REG Tuna Salad!","Seafood","FOOD",4/20/2018,2,12,12,543
317 Marketplace,"REG Turkey!","Turkey","FOOD",4/20/2018,28,157.58,168,527
317 Marketplace,"REG Turkeywich!","Turkey","FOOD",4/20/2018,1,6,6,528
317 Marketplace,"REG Wicked!","Wicked","FOOD",4/20/2018,4,28,28,520
317 Marketplace,"Roast Beef","KIDS","FOOD",4/20/2018,1,0,0,364
317 Marketplace,"SLD Black Bean Patty!","VEG","FOOD",4/20/2018,1,7,7,532
317 Marketplace,"SLD Caprese!","VEG","FOOD",4/20/2018,1,7,7,531
317 Marketplace,"SLD Chicken Salad!","CLASSIC","FOOD",4/20/2018,2,14,14,521
317 Marketplace,"SLD Club!","CLASSIC","FOOD",4/20/2018,2,14,14,523
317 Marketplace,"SLD Krab Salad!","Seafood","FOOD",4/20/2018,1,3.77,7,542
