Location,Item,Sale Department,Master Sale Department,DOB,Quantity,Net Amount,Gross Amount,Item Number
317 Marketplace,"REG Grinder!","Italian","FOOD",4/21/2018,7,42,42,535
317 Marketplace,"REG Ham!","HAM","FOOD",4/21/2018,10,55.48,60,536
317 Marketplace,"REG Krab Salad!","Seafood","FOOD",4/21/2018,4,22.12,24,542
317 Marketplace,"REG Meatball!","Italian","FOOD",4/21/2018,8,45.11,48,534
317 Marketplace,"REG Muffuletta!","HAM","FOOD",4/21/2018,2,10.18,12,537
317 Marketplace,"REG P2-Bacon","MODIFIERS","FOOD",4/21/2018,13,13,13,51
317 Marketplace,"REG P2-Double Cheese","MODIFIERS","FOOD",4/21/2018,4,4,4,50
317 Marketplace,"REG P3-Avocado","MODIFIERS","FOOD",4/21/2018,10,10,10,52
317 Marketplace,"REG P3-Sliced Egg","MODIFIERS","FOOD",4/21/2018,4,4,4,54
317 Marketplace,"REG Pepperoni Pizzawich!","Italian","FOOD",4/21/2018,1,6,6,533
317 Marketplace,"REG Roast Beef!","Beef","FOOD",4/21/2018,8,44.11,48,539
317 Marketplace,"REG Thank You Turkey!","Turkey","FOOD",4/21/2018,1,4.12,6,529
317 Marketplace,"REG The Avocado","VEG","FOOD",4/21/2018,14,78,84,530
317 Marketplace,"REG Tuna Salad!","Seafood","FOOD",4/21/2018,8,45.55,48,543
317 Marketplace,"REG Turkey!","Turkey","FOOD",4/21/2018,47,273.83,282,527
317 Marketplace,"REG Turkeywich!","Turkey","FOOD",4/21/2018,3,18,18,528
317 Marketplace,"REG Wicked!","Wicked","FOOD",4/21/2018,5,29.02,35,520
317 Marketplace,"Roast Beef","KIDS","FOOD",4/21/2018,1,0,0,364
317 Marketplace,"---Salt & Vinegar","Sides","FOOD",4/21/2018,1,0,0,238
317 Marketplace,"SLD Black Bean Patty!","VEG","FOOD",4/21/2018,1,7,7,532
317 Marketplace,"SLD P2-Bacon","MODIFIERS","FOOD",4/21/2018,1,1,1,51
317 Marketplace,"SLD P3-Avocado","MODIFIERS","FOOD",4/21/2018,1,1,1,52
317 Marketplace,"SLD P3-Sliced Egg","MODIFIERS","FOOD",4/21/2018,2,2,2,54
317 Marketplace,"SLD Turkey!","Turkey","FOOD",4/21/2018,2,14,14,527
317 Marketplace,"SUP Black Bean Patty!","VEG","FOOD",4/21/2018,2,15.67,23.5,532
317 Marketplace,"SUP Buffalo Chicken!","Chicken","FOOD",4/21/2018,1,11.75,11.75,525
317 Marketplace,"SUP Meatball!","Italian","FOOD",4/21/2018,1,9.2,11.75,534
317 Marketplace,"SUP P3-Avocado","MODIFIERS","FOOD",4/21/2018,1,2,2,52
317 Marketplace,"SUP The Avocado","VEG","FOOD",4/21/2018,1,11.75,11.75,530
317 Marketplace,"SUP Wicked!","Wicked","FOOD",4/21/2018,1,6.18,13.5,520
317 Marketplace,"Superfood Wich","FAVORITES","FOOD",4/21/2018,4,28.05,31,312
317 Marketplace,"The Reuben","FAVORITES","FOOD",4/21/2018,3,20.82,23.25,271
317 Marketplace,"Turkey","KIDS","FOOD",4/21/2018,6,0,0,365
317 Marketplace,"Ultimate BLT","FAVORITES","FOOD",4/21/2018,10,77.5,77.5,248
317 Marketplace,"---Vanilla","Beverages","NA BEVERAGE",4/21/2018,1,0,0,199
317 Marketplace,"Wheat Bread","MODIFIERS","FOOD",4/21/2018,7,0,0,70
317 Marketplace,"White Bread","MODIFIERS","FOOD",4/21/2018,11,0,0,69
317 Marketplace,"WRP Buffalo Chicken!","Chicken","FOOD",4/21/2018,1,3.89,6,525
317 Marketplace,"WRP Chicken Pesto!","Chicken","FOOD",4/21/2018,1,6,6,526
317 Marketplace,"WRP P3-Avocado","MODIFIERS","FOOD",4/21/2018,1,1,1,52
317 Marketplace,"WRP P3-Sliced Egg","MODIFIERS","FOOD",4/21/2018,1,1,1,54
317 Marketplace,"WRP The Avocado","VEG","FOOD",4/21/2018,2,12,12,530
317 Marketplace,"WRP Tuna Salad!","Seafood","FOOD",4/21/2018,1,6,6,543
