Location,Item,Sale Department,Master Sale Department,DOB,Quantity,Net Amount,Gross Amount,Item Number
317 Marketplace,"LRG Turkey!","Turkey","FOOD",4/19/2018,9,70.17,76.5,527
317 Marketplace,"LRG Turkeywich!","Turkey","FOOD",4/19/2018,1,3.27,8.5,528
317 Marketplace,"LRG Wicked!","Wicked","FOOD",4/19/2018,4,32.92,40,520
317 Marketplace,"LTW Buffalo Chicken!","Chicken","FOOD",4/19/2018,1,5.88,6,525
317 Marketplace,"LTW Caprese!","VEG","FOOD",4/19/2018,1,6,6,531
317 Marketplace,"LTW Roast Beef!","Beef","FOOD",4/19/2018,2,12,12,539
317 Marketplace,"LTW Tuna Salad!","Seafood","FOOD",4/19/2018,1,6,6,543
317 Marketplace,"LTW Wicked!","Wicked","FOOD",4/19/2018,1,8,8,520
317 Marketplace,"Meatball Grinder","FAVORITES","FOOD",4/19/2018,2,15.5,15.5,190
317 Marketplace,"---Oreo","Beverages","NA BEVERAGE",4/19/2018,1,0,0,201
317 Marketplace,"P1-Buffalo","MODIFIERS","FOOD",4/19/2018,1,0,0,88
317 Marketplace,"P1-Pesto","MODIFIERS","FOOD",4/19/2018,1,0,0,91
317 Marketplace,"P2-Bleu Cheese","MODIFIERS","FOOD",4/19/2018,3,0,0,57
317 Marketplace,"P2-Hot Pepper Mix","MODIFIERS","FOOD",4/19/2018,3,0,0,136
317 Marketplace,"P2-Marinara","MODIFIERS","FOOD",4/19/2018,1,0,0,90
317 Marketplace,"P2-Mozzarella","MODIFIERS","FOOD",4/19/2018,4,0,0,65
317 Marketplace,"P2-Mushrooms","MODIFIERS","FOOD",4/19/2018,1,0,0,128
317 Marketplace,"P2-Olive Salad","MODIFIERS","FOOD",4/19/2018,1,0,0,127
317 Marketplace,"P2-Pepper Jack","MODIFIERS","FOOD",4/19/2018,2,0,0,64
317 Marketplace,"P2-Provolone","MODIFIERS","FOOD",4/19/2018,7,0,0,63
317 Marketplace,"P2-Side Au Jus","MODIFIERS","FOOD",4/19/2018,1,0,0,105
317 Marketplace,"P2-Swiss","MODIFIERS","FOOD",4/19/2018,1,0,0,59
317 Marketplace,"P3-Avocado","MODIFIERS","FOOD",4/19/2018,4,0,0,318
317 Marketplace,"P3-Banana Peppers","MODIFIERS","FOOD",4/19/2018,3,0,0,125
317 Marketplace,"P3-Bell Peppers","MODIFIERS","FOOD",4/19/2018,1,0,0,124
317 Marketplace,"P3-Black Olives","MODIFIERS","FOOD",4/19/2018,4,0,0,126
317 Marketplace,"P3-Chipotle Mayo","MODIFIERS","FOOD",4/19/2018,1,0,0,329
317 Marketplace,"P3-Crispy Strings","MODIFIERS","FOOD",4/19/2018,1,0,0,111
317 Marketplace,"P3-Cucumbers","MODIFIERS","FOOD",4/19/2018,1,0,0,118
317 Marketplace,"P3-Dijon Mustard","MODIFIERS","FOOD",4/19/2018,1,0,0,73
317 Marketplace,"P3-Hummus","MODIFIERS","FOOD",4/19/2018,1,0,0,92
317 Marketplace,"P3-Jalapenos","MODIFIERS","FOOD",4/19/2018,2,0,0,123
317 Marketplace,"P3-Light Mayo","MODIFIERS","FOOD",4/19/2018,2,0,0,77
317 Marketplace,"P3-Pickles","MODIFIERS","FOOD",4/19/2018,1,0,0,115
317 Marketplace,"P3-Ranch","MODIFIERS","FOOD",4/19/2018,5,0,0,102
317 Marketplace,"P3-Red Onions","MODIFIERS","FOOD",4/19/2018,3,0,0,110
317 Marketplace,"P3-Regular Mayo","MODIFIERS","FOOD",4/19/2018,3,0,0,76
317 Marketplace,"P3-Sliced Egg*","MODIFIERS","FOOD",4/19/2018,3,0,0,628
317 Marketplace,"P3-Yellow Mustard","MODIFIERS","FOOD",4/19/2018,2,0,0,72
317 Marketplace,"P4-Garlic","MODIFIERS","FOOD",4/19/2018,3,0,0,142
317 Marketplace,"P4-Lettuce","MODIFIERS","FOOD",4/19/2018,9,0,0,112
317 Marketplace,"P4-Oregano","MODIFIERS","FOOD",4/19/2018,3,0,0,139
317 Marketplace,"P4-Pepper","MODIFIERS","FOOD",4/19/2018,4,0,0,141
317 Marketplace,"P4-Salt","MODIFIERS","FOOD",4/19/2018,3,0,0,140
317 Marketplace,"P4-Spinach","MODIFIERS","FOOD",4/19/2018,2,0,0,120
317 Marketplace,"P4-Tomato","MODIFIERS","FOOD",4/19/2018,12,0,0,114
317 Marketplace,"Philly Cheesesteak","FAVORITES","FOOD",4/19/2018,9,63.57,69.75,186
317 Marketplace,"REG Black Bean Patty!","VEG","FOOD",4/19/2018,9,48.36,54,532
317 Marketplace,"REG Buffalo Chicken!","Chicken","FOOD",4/19/2018,6,28.13,36,525
317 Marketplace,"REG Caprese!","VEG","FOOD",4/19/2018,3,18,18,531
317 Marketplace,"REG Chicken Cordon Bleu!","HAM","FOOD",4/19/2018,1,3.85,6,538
317 Marketplace,"REG Chicken Pesto!","Chicken","FOOD",4/19/2018,4,24,24,526
317 Marketplace,"REG Chicken Salad!","CLASSIC","FOOD",4/19/2018,1,6,6,521
317 Marketplace,"REG Chicken!","Chicken","FOOD",4/19/2018,9,48,54,524
317 Marketplace,"REG Club!","CLASSIC","FOOD",4/19/2018,10,52.23,60,523
317 Marketplace,"REG Corned Beef!","Beef","FOOD",4/19/2018,2,8.79,12,540
317 Marketplace,"REG Double Meat","MODIFIERS","FOOD",4/19/2018,2,4,4,53
317 Marketplace,"REG Egg Salad!","CLASSIC","FOOD",4/19/2018,1,6,6,522
317 Marketplace,"REG French Dip!","Beef","FOOD",4/19/2018,4,22.22,24,541
317 Marketplace,"REG Grinder!","Italian","FOOD",4/19/2018,5,28.11,30,535
317 Marketplace,"REG Ham!","HAM","FOOD",4/19/2018,8,39.08,48,536
317 Marketplace,"REG Krab Salad!","Seafood","FOOD",4/19/2018,1,0,6,542
317 Marketplace,"REG Meatball!","Italian","FOOD",4/19/2018,3,18,18,534
317 Marketplace,"REG P2-Bacon","MODIFIERS","FOOD",4/19/2018,7,7,7,51
317 Marketplace,"REG P2-Double Cheese","MODIFIERS","FOOD",4/19/2018,2,2,2,50
317 Marketplace,"REG P3-Avocado","MODIFIERS","FOOD",4/19/2018,7,7,7,52
317 Marketplace,"REG P3-Sliced Egg","MODIFIERS","FOOD",4/19/2018,1,1,1,54
317 Marketplace,"REG Pepperoni Pizzawich!","Italian","FOOD",4/19/2018,1,6,6,533
317 Marketplace,"REG Roast Beef!","Beef","FOOD",4/19/2018,5,26.69,30,539
317 Marketplace,"REG Surf & Turf!","Seafood","FOOD",4/19/2018,2,12,12,544
317 Marketplace,"REG The Avocado","VEG","FOOD",4/19/2018,3,18,18,530
317 Marketplace,"REG Tuna Salad!","Seafood","FOOD",4/19/2018,3,18,18,543
317 Marketplace,"REG Turkey!","Turkey","FOOD",4/19/2018,15,73.7,90,527
317 Marketplace,"REG Turkeywich!","Turkey","FOOD",4/19/2018,2,12,12,528
317 Marketplace,"REG Wicked!","Wicked","FOOD",4/19/2018,7,38.58,49,520
317 Marketplace,"---Salt & Vinegar","Sides","FOOD",4/19/2018,1,0,0,238
317 Marketplace,"SUP Club!","CLASSIC","FOOD",4/19/2018,1,11.75,11.75,523
317 Marketplace,"SUP Corned Beef!","Beef","FOOD",4/19/2018,1,11.75,11.75,540
317 Marketplace,"SUP Double Meat","MODIFIERS","FOOD",4/19/2018,1,4,4,53
317 Marketplace,"SUP Krab Salad!","Seafood","FOOD",4/19/2018,1,11.75,11.75,542
317 Marketplace,"SUP P2-Bacon","MODIFIERS","FOOD",4/19/2018,1,2,2,51
317 Marketplace,"SUP P2-Double Cheese","MODIFIERS","FOOD",4/19/2018,1,2,2,50
317 Marketplace,"SUP P3-Avocado","MODIFIERS","FOOD",4/19/2018,1,2,2,52
317 Marketplace,"SUP Surf & Turf!","Seafood","FOOD",4/19/2018,1,11.75,11.75,544
317 Marketplace,"SUP Turkey!","Turkey","FOOD",4/19/2018,1,11.75,11.75,527
317 Marketplace,"SUP Wicked!","Wicked","FOOD",4/19/2018,3,40.5,40.5,520
317 Marketplace,"Superfood Wich","FAVORITES","FOOD",4/19/2018,5,34.27,38.75,312
317 Marketplace,"The Reuben","FAVORITES","FOOD",4/19/2018,4,28.7,31,271
317 Marketplace,"Turkey","KIDS","FOOD",4/19/2018,1,0,0,365
317 Marketplace,"Ultimate BLT","FAVORITES","FOOD",4/19/2018,9,68.45,69.75,248
317 Marketplace,"Vitamin Water","Beverages","NA BEVERAGE",4/19/2018,1,2.25,2.25,1785
317 Marketplace,"Wheat Bread","MODIFIERS","FOOD",4/19/2018,7,0,0,70
317 Marketplace,"White Bread","MODIFIERS","FOOD",4/19/2018,8,0,0,69
317 Marketplace,"WRP Black Bean Patty!","VEG","FOOD",4/19/2018,1,6,6,532
317 Marketplace,"WRP Chicken!","Chicken","FOOD",4/19/2018,2,12,12,524
317 Marketplace,"WRP P3-Avocado","MODIFIERS","FOOD",4/19/2018,2,2,2,52
317 Marketplace,"WRP P3-Sliced Egg","MODIFIERS","FOOD",4/19/2018,1,1,1,54
317 Marketplace,"WRP Turkey!","Turkey","FOOD",4/19/2018,1,6,6,527
317 Marketplace,"Yellow Cheese","MODIFIERS","FOOD",4/19/2018,1,0,0,67
